operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,"-34.4281108,-58.5728848",160000.0,USD,2425984.0,160000.0,169.0,77.0,946.7455621301776,2077.9220779220777,,,,http://tigre.properati.com.ar/i4rw_venta_departamento_tigre
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,270000.0,USD,4093848.0,270000.0,790.0,221.0,341.7721518987342,1221.7194570135746,,,,http://benavidez.properati.com.ar/n4go_venta_casa_benavidez_0
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5889927,-58.4001326",215000.0,USD,3259916.0,215000.0,40.0,35.0,5375.0,6142.857142857143,,1.0,3500,http://recoleta.properati.com.ar/12j4v_venta_departamentos_recoleta_balcon_gimnasio_sum_sauna_garage_placard_aire-acondicionado_subte-linea-d_subte-linea-h_deptos-temporarios
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5879654,-58.5862179",,,,,277.0,113.0,,,,4.0,,http://tres-de-febrero.properati.com.ar/um5c_venta_casa_tres-de-febrero
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5995115,-58.5538716",90000.0,USD,1364616.0,90000.0,200.0,90.0,450.0,1000.0,,3.0,,http://tres-de-febrero.properati.com.ar/10yhb_venta_departamentos_tres-de-febrero_lavadero_terraza_carlos-a-giampaolo_4r3
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4905405,-58.4889933",1250000.0,USD,18953000.0,1250000.0,0.0,0.0,,,,,,http://martinez.properati.com.ar/11izk_venta_casa_martinez_colon_800_suite_lavadero_parrilla_piscina_vestidor_luminoso_vista_dependencias_garage_aire-acondicionado_reynolds-la-lucila
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Moreno|,"-34.6489088,-58.7961616",60000.0,USD,909744.0,60000.0,61.0,,983.6065573770492,,,,,http://moreno.properati.com.ar/zjuc_venta_departamentos_moreno_yedro-propiedades-moreno
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,,240000.0,USD,3638976.0,240000.0,91.0,81.0,2637.362637362637,2962.962962962963,2.0,,,http://martinez.properati.com.ar/wakc_venta_departamentos_martinez_0
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,,670000.0,USD,10158808.0,670000.0,1050.0,275.0,638.0952380952381,2436.3636363636365,,,,http://benavidez.properati.com.ar/nrrk_venta_casa_benavidez_600
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5880437,-58.3980657",341550.0,USD,5178717.72,341550.0,,90.0,,3795.0,8.0,2.0,,http://recoleta.properati.com.ar/100t0_venta_departamentos_capital-federal_avenida-pueyrredon_balcon_baulera_suite_jardin_lavadero_parrilla_piscina_terraza_vestidor_garage_re-max-total-v
